,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,SMA5,SMA20,Buy,Sell,Buy_ind,Sell_ind
639,HDFCBANK,EQ,2018-05-22,1993.05,1998.7,2013.95,1985.5,       1989.90,1989.9,1997.96,990093,1978165831.95,57895,582922,58.88,1980.6325000000008,1912.7374999999975,1,0,0,0
640,HDFCBANK,EQ,2018-05-23,1989.9,1987.8,1994.0,1963.4,       1965.00,1967.5,1976.78,1431573,2829907721.45,43333,733712,51.25,1982.2575000000008,1913.7289999999973,1,0,0,0
641,HDFCBANK,EQ,2018-05-24,1967.5,1967.1,1990.25,1956.35,       1989.20,1986.0,1970.67,1130186,2227221743.05,22930,343874,30.43,1985.520000000001,1915.0214999999973,1,0,0,0
642,HDFCBANK,EQ,2018-05-25,1986.0,1990.0,2016.0,1989.9,       2008.00,2008.7,2004.87,1189897,2385592681.1,34306,609785,51.25,1989.4425000000006,1916.3279999999975,1,0,0,0
643,HDFCBANK,EQ,2018-05-28,2008.7,2007.8,2052.0,2006.0,       2038.25,2042.2,2037.48,1275985,2599796071.15,35912,612923,48.04,1995.3825000000004,1918.0259999999978,1,0,0,0
644,HDFCBANK,EQ,2018-05-29,2042.2,2038.0,2052.7,2028.8,       2031.60,2032.6,2042.07,837811,1710866826.8,37142,336056,40.11,1999.7975000000001,1919.8069999999977,1,0,0,0
645,HDFCBANK,EQ,2018-05-30,2032.6,2019.7,2053.0,2016.3,       2050.50,2048.35,2040.97,1216749,2483350965.9,40713,505099,41.51,2003.7400000000002,1921.5669999999977,1,0,0,0
646,HDFCBANK,EQ,2018-05-31,2048.35,2100.0,2160.0,2080.0,       2130.00,2139.45,2118.27,9909798,20991620343.45,172676,4103328,41.41,2012.3174999999999,1924.434999999998,1,0,0,0
648,HDFCBANK,EQ,2018-06-01,2139.45,2116.0,2138.0,2101.0,       2106.95,2110.6,2116.77,5287839,11193143671.65,99119,1532118,28.97,2018.4225,1926.9419999999982,1,0,0,0
649,HDFCBANK,EQ,2018-06-04,2110.6,2150.0,2157.0,2037.95,       2045.00,2046.2,2098.04,22199081,46574473923.0,245711,13914623,62.68,2021.8624999999997,1928.7679999999982,1,0,0,0
651,HDFCBANK,EQ,2018-06-05,2046.2,2050.0,2066.95,2023.0,       2064.85,2063.6,2050.5,4276365,8768700389.8,107261,2076336,48.55,2026.6899999999994,1930.7979999999982,1,0,0,0
652,HDFCBANK,EQ,2018-06-06,2063.6,2060.2,2064.8,2045.0,       2057.40,2057.35,2057.29,2445500,5031101788.0,95270,1579516,64.59,2030.6374999999994,1932.734499999998,1,0,0,0
653,HDFCBANK,EQ,2018-06-07,2057.35,2073.2,2079.8,2053.2,       2061.90,2062.2,2070.16,2640974,5467251083.65,78397,1574412,59.61,2034.1124999999993,1934.714499999998,1,0,0,0
654,HDFCBANK,EQ,2018-06-08,2062.2,2059.0,2061.25,2035.0,       2048.95,2049.35,2046.16,1545222,3161769178.3,104515,884695,57.25,2035.9924999999992,1936.4824999999983,1,0,0,0
655,HDFCBANK,EQ,2018-06-11,2049.35,2051.9,2062.95,2038.8,       2041.75,2042.3,2051.22,1772797,3636404884.75,57753,1138924,64.24,2037.0199999999993,1938.2524999999982,1,0,0,0
656,HDFCBANK,EQ,2018-06-12,2042.3,2051.9,2052.7,2038.4,       2045.00,2043.85,2045.45,1308564,2676605962.7,54586,871913,66.63,2037.322499999999,1939.7134999999982,1,0,0,0
657,HDFCBANK,EQ,2018-06-13,2043.85,2052.0,2054.8,2024.1,       2032.00,2031.45,2034.95,1974490,4017987612.55,103434,1353016,68.52,2037.727499999999,1941.0264999999986,1,0,0,0
658,HDFCBANK,EQ,2018-06-14,2031.45,2030.0,2045.0,2025.0,       2035.00,2037.4,2039.58,4231894,8631283806.05,96797,2913891,68.86,2038.2099999999991,1942.4954999999984,1,0,0,0
