,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,SMA5,SMA20,Buy,Sell,Buy_ind,Sell_ind
534,HDFCBANK,EQ,2018-01-31,1995.5,1989.4,2013.5,1987.0,       2004.60,2005.7,2003.12,1735837,3477096561.15,45781,1045031,60.2,1916.275,1849.8634999999988,1,0,0,0
535,HDFCBANK,EQ,2018-02-01,2005.7,2006.0,2015.0,1985.3,       1986.50,1991.15,2001.09,1630355,3262488565.95,34891,701699,43.04,1923.2,1851.8984999999989,1,0,0,0
536,HDFCBANK,EQ,2018-02-02,1991.15,1986.0,1989.9,1941.5,       1941.50,1948.0,1963.93,1836531,3606812369.0,60365,1231464,67.05,1927.605,1853.1449999999988,1,0,0,0
537,HDFCBANK,EQ,2018-02-05,1948.0,1918.0,1935.25,1905.85,       1918.00,1913.85,1916.75,1981696,3798409854.65,49748,1385911,69.94,1930.1174999999998,1853.9314999999988,1,0,0,0
538,HDFCBANK,EQ,2018-02-06,1913.85,1860.0,1912.0,1836.3,       1898.80,1896.8,1868.86,2687451,5022468828.2,74329,1279189,47.6,1931.9275000000002,1854.4809999999986,1,0,0,0
540,HDFCBANK,EQ,2018-02-07,1896.8,1907.0,1907.0,1862.4,       1868.50,1872.8,1875.43,2091243,3921971760.25,57480,993289,47.5,1932.3825000000004,1854.8149999999985,1,0,0,0
542,HDFCBANK,EQ,2018-02-08,1872.8,1884.0,1898.6,1866.5,       1882.00,1880.95,1887.25,1292861,2439953543.35,53803,559966,43.31,1933.2200000000005,1855.1349999999986,1,0,0,0
543,HDFCBANK,EQ,2018-02-09,1880.95,1847.9,1864.7,1844.1,       1852.00,1849.5,1853.01,1602238,2968965973.2,52830,837518,52.27,1932.0675000000003,1855.0254999999984,1,0,0,0
545,HDFCBANK,EQ,2018-02-12,1849.5,1860.0,1886.0,1855.15,       1880.00,1876.65,1872.43,1095277,2050832316.7,22502,700531,63.96,1932.6350000000002,1855.2949999999983,1,0,0,0
546,HDFCBANK,EQ,2018-02-14,1876.65,1889.8,1897.9,1874.65,       1879.85,1883.15,1889.56,894297,1689825412.3,31815,517624,57.88,1931.9050000000002,1855.637999999998,1,0,0,0
547,HDFCBANK,EQ,2018-02-15,1883.15,1889.7,1894.75,1875.0,       1881.25,1881.9,1882.55,1228806,2313293856.75,32753,742302,60.41,1930.9925000000003,1856.065999999998,1,0,0,0
548,HDFCBANK,EQ,2018-02-16,1881.9,1883.9,1894.85,1875.65,       1880.40,1878.6,1883.79,895880,1687649892.1,22732,355509,39.68,1930.3975000000003,1856.610999999998,1,0,0,0
549,HDFCBANK,EQ,2018-02-19,1878.6,1882.6,1887.6,1859.05,       1880.00,1878.2,1876.45,913638,1714398525.1,25194,457562,50.08,1927.5925,1857.395499999998,1,0,0,0
550,HDFCBANK,EQ,2018-02-20,1878.2,1884.75,1885.85,1858.8,       1860.15,1863.2,1875.4,1021017,1914810586.35,31634,582362,57.04,1923.1425,1858.1044999999983,1,0,0,0
551,HDFCBANK,EQ,2018-02-21,1863.2,1867.95,1868.55,1852.2,       1859.20,1857.4,1858.84,688268,1279377292.3,32317,352348,51.19,1917.845,1858.9134999999983,1,0,0,0
552,HDFCBANK,EQ,2018-02-22,1857.4,1850.0,1860.0,1841.55,       1850.15,1853.2,1851.2,3313399,6133748038.6,41538,1640988,49.53,1912.9399999999998,1859.4924999999985,1,0,0,0
553,HDFCBANK,EQ,2018-02-23,1853.2,1856.9,1884.85,1850.4,       1877.00,1880.55,1869.03,1019187,1904887235.65,18810,553315,54.29,1909.0849999999998,1860.2409999999984,1,0,0,0
554,HDFCBANK,EQ,2018-02-26,1880.55,1888.1,1914.8,1883.55,       1912.50,1911.55,1904.1,1197221,2279631074.55,30059,692072,57.81,1905.9150000000002,1861.2679999999982,1,0,0,0
555,HDFCBANK,EQ,2018-02-27,1911.55,1914.75,1921.75,1900.0,       1900.50,1902.55,1908.74,1196832,2284446196.6,26645,764702,63.89,1901.0600000000002,1862.323499999998,1,0,0,0
556,HDFCBANK,EQ,2018-02-28,1902.55,1889.55,1895.45,1878.0,       1888.00,1884.2,1883.79,1016591,1915043360.4,29207,533917,52.52,1895.4950000000001,1863.1794999999981,1,0,0,0
557,HDFCBANK,EQ,2018-03-01,1884.2,1879.3,1893.3,1868.0,       1868.05,1874.35,1884.58,977460,1842102392.05,24955,492115,50.35,1888.9275000000002,1863.921999999998,1,0,0,0
558,HDFCBANK,EQ,2018-03-05,1874.35,1874.15,1878.0,1858.25,       1866.00,1869.95,1867.66,945366,1765625423.4,60906,482154,51.0,1882.8674999999998,1864.6664999999982,1,0,0,0
560,HDFCBANK,EQ,2018-03-06,1869.95,1870.0,1879.9,1839.5,       1840.00,1846.25,1864.57,1144207,2133448786.3,32346,587401,51.34,1877.78,1865.101999999998,1,0,0,0
561,HDFCBANK,EQ,2018-03-07,1846.25,1840.0,1853.4,1828.5,       1831.10,1832.6,1839.17,1407041,2587784690.15,41147,786990,55.93,1873.7175,1865.5264999999981,1,0,0,0
562,HDFCBANK,EQ,2018-03-08,1832.6,1839.8,1858.5,1832.0,       1850.00,1852.85,1844.42,1379681,2544714180.1,26260,841822,61.02,1871.5199999999998,1865.8669999999984,1,0,0,0
564,HDFCBANK,EQ,2018-03-09,1852.85,1854.95,1865.25,1844.0,       1846.15,1851.05,1856.06,1027027,1906219129.55,29867,583405,56.81,1870.4324999999997,1865.8694999999984,1,0,0,0
565,HDFCBANK,EQ,2018-03-12,1851.05,1860.2,1869.45,1853.4,       1866.30,1867.25,1863.99,1639279,3055594028.9,34880,1156796,70.57,1869.7475,1865.9704999999985,1,0,0,0
566,HDFCBANK,EQ,2018-03-13,1867.25,1867.45,1884.75,1855.0,       1859.45,1860.25,1870.24,1281050,2395869816.4,32044,696918,54.4,1870.2849999999999,1866.0604999999985,1,0,0,0
567,HDFCBANK,EQ,2018-03-14,1860.25,1856.0,1867.9,1848.0,       1864.00,1864.5,1857.75,920098,1709311423.0,36271,509645,55.39,1869.6774999999998,1866.0204999999985,1,0,0,0
568,HDFCBANK,EQ,2018-03-15,1864.5,1865.2,1887.5,1865.2,       1873.50,1880.8,1879.2,1467731,2758155776.8,44905,802388,54.67,1869.56,1866.3444999999983,1,0,0,0
570,HDFCBANK,EQ,2018-03-16,1880.8,1880.0,1881.1,1846.55,       1858.00,1853.0,1861.09,1974084,3673949096.8,35446,1068955,54.15,1868.1149999999998,1866.2414999999985,1,0,0,0
571,HDFCBANK,EQ,2018-03-19,1853.0,1853.0,1860.0,1843.15,       1847.00,1847.25,1851.78,1959685,3628898883.95,60212,1210689,61.78,1866.5475,1866.0429999999985,1,0,0,0
573,HDFCBANK,EQ,2018-03-20,1847.25,1845.1,1855.9,1835.25,       1842.90,1839.5,1845.17,914343,1687115132.5,23270,453848,49.64,1864.6125,1866.4869999999983,0,1,0,1
574,HDFCBANK,EQ,2018-03-21,1839.5,1848.0,1863.2,1843.3,       1858.95,1858.9,1853.89,1480285,2744280455.5,44655,947180,63.99,1864.3975000000003,1867.1224999999984,0,1,0,0
575,HDFCBANK,EQ,2018-03-22,1858.9,1858.9,1880.0,1855.1,       1863.00,1867.75,1872.05,1668306,3123149751.5,37562,856679,51.35,1864.9150000000002,1867.8894999999984,0,1,0,0
577,HDFCBANK,EQ,2018-03-23,1867.75,1846.65,1853.1,1837.25,       1842.25,1841.55,1844.22,1797538,3315060067.5,34048,886132,49.3,1864.3325000000004,1868.1549999999982,0,1,0,0
579,HDFCBANK,EQ,2018-03-26,1841.55,1839.9,1900.0,1833.5,       1896.20,1893.45,1868.66,2625442,4906054711.2,86610,1573073,59.92,1864.9775000000002,1869.0044999999984,0,1,0,0
581,HDFCBANK,EQ,2018-03-27,1893.45,1893.8,1899.0,1876.0,       1894.05,1892.6,1888.52,1534209,2897382139.25,31150,797281,51.97,1864.03,1869.7184999999984,0,1,0,0
582,HDFCBANK,EQ,2018-03-28,1892.6,1882.95,1899.7,1876.05,       1890.00,1886.1,1886.44,2209377,4167862538.7,50573,1205141,54.55,1863.2074999999998,1870.3584999999982,0,1,0,0
584,HDFCBANK,EQ,2018-04-02,1886.1,1890.5,1935.75,1890.5,       1931.90,1931.2,1917.34,1149092,2203201439.6,37803,656967,57.17,1865.5574999999997,1871.3634999999983,0,1,0,0
586,HDFCBANK,EQ,2018-04-03,1931.2,1923.95,1925.7,1911.0,       1913.00,1915.9,1917.02,1019971,1955306114.65,48938,592029,58.04,1867.6349999999998,1872.2364999999982,0,1,0,0
587,HDFCBANK,EQ,2018-04-04,1915.9,1912.95,1924.95,1878.45,       1883.10,1883.25,1903.29,928527,1767257058.2,34499,456685,49.18,1868.3,1872.831999999998,0,1,0,0
589,HDFCBANK,EQ,2018-04-05,1883.25,1901.3,1914.0,1890.2,       1913.10,1908.9,1900.56,1214723,2308652574.5,61633,605874,49.88,1871.4325000000001,1873.661499999998,0,1,0,0
591,HDFCBANK,EQ,2018-04-06,1908.9,1912.2,1926.45,1905.8,       1920.10,1923.4,1917.27,930002,1783068526.1,24914,466973,50.21,1875.9725000000003,1874.6169999999977,1,0,1,0
593,HDFCBANK,EQ,2018-04-09,1923.4,1918.8,1942.0,1916.4,       1937.00,1939.05,1936.3,1000884,1938008165.25,32002,541199,54.07,1880.2825000000005,1875.7874999999976,1,0,0,0
595,HDFCBANK,EQ,2018-04-10,1939.05,1943.0,1943.0,1913.5,       1921.20,1920.85,1920.94,1516809,2913693991.15,55147,947252,62.45,1883.7725000000003,1876.860499999998,1,0,0,0
