,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,range,Average,GT1400,DailyTrend,Calculated Column
40,HDFCBANK,EQ,2016-08-04,1240.45,1246.6,1246.7,1233.6,       1244.55,1241.0,1239.31,1165720,1444687610.25,17692,783541,67.22,13.100000000000136,1243.8,0,Negative,1243.8
41,HDFCBANK,EQ,2016-08-05,1241.0,1247.4,1255.65,1241.75,       1250.20,1249.25,1249.05,1446228,1806410416.05,13522,939905,64.99,13.900000000000091,1248.325,0,Positive,1.849999999999909
42,HDFCBANK,EQ,2016-08-08,1249.25,1252.9,1255.0,1244.55,       1248.20,1249.6,1249.91,1182194,1477640836.7,27746,909882,76.97,10.450000000000045,1251.25,0,Negative,1251.25
43,HDFCBANK,EQ,2016-08-09,1249.6,1252.9,1252.9,1237.7,       1245.50,1247.2,1245.95,1052714,1311632914.25,17029,704276,66.9,15.200000000000045,1250.0500000000002,0,Negative,1250.0500000000002
44,HDFCBANK,EQ,2016-08-10,1247.2,1245.0,1250.95,1219.75,       1224.00,1226.9,1231.7,904930,1114604307.8,12152,597502,66.03,31.200000000000045,1235.95,0,Negative,1235.95
45,HDFCBANK,EQ,2016-08-11,1226.9,1226.8,1235.0,1222.0,       1229.00,1228.25,1229.93,714018,878191598.35,19268,475548,66.6,13.0,1227.525,0,Positive,1.4500000000000455
46,HDFCBANK,EQ,2016-08-12,1228.25,1231.05,1235.0,1219.4,       1227.80,1228.7,1227.8,1160374,1424710572.1,14889,654990,56.45,15.599999999999909,1229.875,0,Negative,1229.875
47,HDFCBANK,EQ,2016-08-16,1228.7,1233.0,1238.45,1213.8,       1226.50,1227.3,1225.63,867142,1062798488.75,15518,455081,52.48,24.65000000000009,1230.15,0,Negative,1230.15
48,HDFCBANK,EQ,2016-08-17,1227.3,1233.4,1237.5,1226.0,       1236.25,1234.9,1231.98,1377759,1697377754.9,23582,1022149,74.19,11.5,1234.15,0,Positive,1.5
49,HDFCBANK,EQ,2016-08-18,1234.9,1238.0,1254.9,1234.55,       1250.00,1252.5,1247.8,1527914,1906537631.05,20416,1054938,69.04,20.350000000000136,1245.25,0,Positive,14.5
50,HDFCBANK,EQ,2016-08-19,1252.5,1250.0,1250.0,1241.45,       1249.00,1247.1,1246.73,1027659,1281217004.25,18849,787850,76.66,8.549999999999955,1248.55,0,Negative,1248.55
51,HDFCBANK,EQ,2016-08-22,1247.1,1245.05,1254.45,1241.0,       1251.95,1250.3,1247.87,1375323,1716223179.15,26039,996127,72.43,13.450000000000045,1247.675,0,Positive,5.25
52,HDFCBANK,EQ,2016-08-23,1250.3,1251.0,1254.0,1246.05,       1254.00,1251.45,1249.58,1328631,1660230734.1,24934,996873,75.03,7.9500000000000455,1251.225,0,Positive,0.4500000000000455
53,HDFCBANK,EQ,2016-08-24,1251.45,1252.05,1264.2,1247.05,       1262.25,1261.8,1253.34,1392734,1745564106.5,25642,1005355,72.19,17.15000000000009,1256.925,0,Positive,9.75
54,HDFCBANK,EQ,2016-08-25,1261.8,1264.0,1266.8,1254.3,       1259.00,1258.55,1259.5,2182472,2748817761.7,42590,1613038,73.91,12.5,1261.275,0,Negative,1261.275
55,HDFCBANK,EQ,2016-08-26,1258.55,1260.0,1261.9,1253.9,       1254.15,1257.1,1257.34,630284,792483537.95,17382,401297,63.67,8.0,1258.55,0,Negative,1258.55
56,HDFCBANK,EQ,2016-08-29,1257.1,1255.5,1255.5,1236.2,       1238.55,1238.1,1241.38,736046,913713665.75,20786,424033,57.61,19.299999999999955,1246.8,0,Negative,1246.8
57,HDFCBANK,EQ,2016-08-30,1238.1,1245.1,1270.5,1243.95,       1270.50,1268.65,1260.07,2466902,3108473874.3,42110,1795458,72.78,26.549999999999955,1256.875,0,Positive,23.550000000000182
58,HDFCBANK,EQ,2016-08-31,1268.65,1269.0,1295.0,1265.5,       1291.00,1291.2,1280.94,2790341,3574261805.15,51707,2051083,73.51,29.5,1280.1,0,Positive,22.200000000000045
59,HDFCBANK,EQ,2016-09-01,1291.2,1288.0,1290.0,1275.4,       1285.55,1283.7,1283.34,1306169,1676260302.75,23871,743006,56.88,14.599999999999909,1285.85,0,Negative,1285.85
60,HDFCBANK,EQ,2016-09-02,1283.7,1285.5,1289.0,1281.15,       1286.10,1285.1,1285.3,988797,1270896738.75,41785,593274,60.0,7.849999999999909,1285.3,0,Negative,1285.3
61,HDFCBANK,EQ,2016-09-06,1285.1,1290.05,1303.9,1290.05,       1300.65,1300.4,1298.04,1377221,1787686753.65,20035,825838,59.96,13.850000000000136,1295.225,0,Positive,10.350000000000136
62,HDFCBANK,EQ,2016-09-07,1300.4,1301.0,1305.0,1283.1,       1291.35,1286.75,1290.82,1004111,1296125074.25,14781,600689,59.82,21.90000000000009,1293.875,0,Negative,1293.875
64,HDFCBANK,EQ,2016-09-08,1286.75,1290.0,1295.25,1283.6,       1290.80,1289.4,1288.25,726345,935717252.9,13267,416910,57.4,11.650000000000091,1289.7,0,Negative,1289.7
66,HDFCBANK,EQ,2016-09-09,1289.4,1290.0,1294.5,1278.3,       1290.00,1290.4,1286.5,1003442,1290930474.9,18366,518737,51.7,16.200000000000045,1290.2,0,Positive,0.40000000000009095
67,HDFCBANK,EQ,2016-09-12,1290.4,1274.7,1284.4,1271.5,       1279.60,1279.9,1278.7,996432,1274140267.25,22924,642693,64.5,12.900000000000091,1277.3000000000002,0,Positive,5.2000000000000455
68,HDFCBANK,EQ,2016-09-14,1279.9,1275.0,1277.0,1265.4,       1272.00,1269.45,1270.7,962377,1222890825.55,29388,588057,61.1,11.599999999999909,1272.225,0,Negative,1272.225
69,HDFCBANK,EQ,2016-09-15,1269.45,1272.0,1283.9,1269.85,       1282.90,1279.6,1277.55,875453,1118434719.9,17311,438917,50.14,14.050000000000182,1275.8,0,Positive,7.599999999999909
71,HDFCBANK,EQ,2016-09-16,1279.6,1283.8,1304.5,1283.8,       1297.50,1297.85,1299.0,1631454,2119265576.0,20805,956112,58.6,20.700000000000045,1290.8249999999998,0,Positive,14.049999999999955
72,HDFCBANK,EQ,2016-09-19,1297.85,1297.0,1302.5,1288.0,       1289.65,1290.15,1292.84,1473708,1905270035.95,19964,877259,59.53,14.5,1293.575,0,Negative,1293.575
