,Date,Open Price,High Price,Low Price,Close Price,SMA50,SMA5,SMA10,SMA20,SMA100,SMA200
80,736235.0,1299.9,1300.0,1289.0,1295.25,1260.677,1301.8100000000002,1295.8100000000002,1290.1525000000006,,
82,736236.0,1297.95,1306.0,1267.95,1277.5,1261.6779999999999,1295.9300000000003,1295.6000000000001,1290.5950000000005,,
83,736237.0,1277.1,1281.0,1267.4,1272.85,1262.7679999999998,1287.9600000000005,1293.1000000000001,1289.6775000000002,,
85,736240.0,1281.0,1289.9,1276.4,1287.2,1263.868,1286.1700000000005,1292.8050000000003,1289.8525000000004,,
86,736241.0,1288.6,1295.0,1282.3,1289.55,1265.087,1284.4700000000005,1292.9150000000002,1290.0750000000003,,
87,736242.0,1298.0,1300.05,1276.4,1286.1,1266.193,1282.6400000000006,1292.2250000000001,1289.3600000000001,,
88,736243.0,1287.1,1295.6,1279.05,1281.95,1266.8929999999998,1283.5300000000004,1289.7300000000002,1289.1200000000003,,
89,736244.0,1284.0,1287.75,1276.25,1280.6,1267.7289999999998,1285.0800000000004,1286.5200000000002,1288.68,,
90,736247.0,1285.0,1287.9,1278.75,1284.35,1268.677,1284.5100000000004,1285.3400000000004,1288.3775,,
91,736250.0,1279.0,1279.0,1256.45,1262.75,1268.963,1279.1500000000003,1281.8100000000004,1287.52,,
92,736251.0,1265.75,1268.0,1254.0,1261.8,1269.275,1274.2900000000004,1278.4650000000004,1287.1374999999998,,
93,736254.0,1265.5,1266.4,1232.75,1237.7,1269.183,1265.4400000000005,1274.4850000000004,1285.0425,,
94,736255.0,1243.2,1260.0,1239.0,1257.85,1269.4739999999997,1260.8900000000006,1272.9850000000004,1283.0425,,
95,736256.0,1261.1,1263.0,1248.0,1258.35,1269.8319999999999,1255.6900000000005,1270.1000000000004,1281.4524999999999,,
96,736257.0,1260.25,1267.45,1251.0,1255.5,1270.1219999999998,1254.2400000000005,1266.6950000000004,1279.8049999999998,,
97,736258.0,1256.0,1272.95,1250.0,1270.7,1270.5509999999997,1256.0200000000004,1265.1550000000004,1278.6899999999998,,
98,736261.0,1271.75,1276.85,1261.05,1263.55,1270.83,1261.1900000000005,1263.3150000000003,1276.5224999999996,,
99,736262.0,1268.0,1268.0,1244.05,1250.3,1270.892,1259.6800000000007,1260.2850000000003,1273.4024999999997,,
100,736263.0,1243.35,1265.0,1235.05,1239.3,1271.14,1255.8700000000008,1255.7800000000002,1270.5599999999995,,
101,736264.0,1239.0,1257.0,1224.15,1252.1,1271.617,1255.190000000001,1254.7150000000001,1268.2624999999994,,
102,736265.0,1254.5,1261.9,1240.1,1259.05,1272.2240000000002,1252.860000000001,1254.44,1266.4524999999994,,
103,736267.0,1263.3,1263.3,1250.0,1253.3,1272.7440000000001,1250.8100000000009,1256.0,1265.2424999999994,,
104,736269.0,1256.0,1263.85,1247.05,1259.8,1273.2420000000002,1252.710000000001,1256.195,1264.5899999999995,,
105,736270.0,1251.1,1255.7,1241.5,1246.15,1273.1150000000002,1254.0800000000008,1254.975,1262.5374999999995,,
106,736271.0,1245.0,1260.0,1231.75,1254.95,1273.2720000000002,1254.6500000000008,1254.9199999999998,1260.8074999999994,,
107,736272.0,1252.8,1252.8,1241.75,1243.7,1273.14,1251.5800000000006,1252.2199999999998,1258.6874999999995,,
108,736275.0,1252.0,1254.85,1240.0,1249.45,1273.1,1250.8100000000006,1250.81,1257.0624999999995,,
109,736276.0,1251.1,1258.0,1240.1,1254.3,1272.95,1249.7100000000005,1251.21,1255.7474999999997,,
110,736277.0,1200.0,1257.4,1195.35,1251.25,1272.8039999999999,1250.7300000000007,1252.4050000000002,1254.0924999999997,1243.0845000000002,
111,736278.0,1263.75,1283.0,1254.1,1278.55,1273.233,1255.4500000000007,1255.05,1254.8824999999997,1244.1745,
112,736279.0,1274.0,1282.0,1265.6,1275.8,1273.987,1261.8700000000008,1256.725,1255.5824999999998,1245.3110000000001,
113,736283.0,1277.5,1289.0,1250.65,1254.75,1273.709,1262.9300000000007,1256.8700000000001,1256.4349999999997,1246.1585000000002,
115,736284.0,1268.0,1268.0,1240.05,1244.35,1272.7720000000002,1260.9400000000007,1255.3250000000003,1255.7599999999998,1246.8815000000002,
117,736285.0,1238.3,1248.9,1225.15,1230.2,1271.7020000000002,1256.7300000000007,1253.7300000000002,1254.3524999999997,1247.5170000000003,
118,736286.0,1236.0,1236.0,1209.2,1211.4,1270.228,1243.3000000000006,1249.3750000000002,1252.1474999999998,1247.9160000000002,
119,736289.0,1219.5,1219.5,1188.35,1198.7,1268.1940000000002,1227.8800000000006,1244.8750000000002,1248.5475,1248.0020000000002,
120,736290.0,1206.8,1206.8,1189.35,1198.05,1266.42,1216.5400000000004,1239.7350000000001,1245.2724999999998,1248.3635000000002,
121,736291.0,1203.0,1203.0,1181.1,1184.75,1264.3270000000002,1204.6200000000003,1232.7800000000002,1241.995,1248.6115000000002,
122,736292.0,1184.0,1186.3,1160.9,1165.5,1261.8290000000002,1191.6800000000005,1224.2050000000002,1238.3049999999998,1248.5970000000002,
123,736293.0,1169.0,1193.2,1158.0,1189.3,1260.017,1187.2600000000007,1215.2800000000002,1235.165,1248.8070000000002,
125,736296.0,1180.25,1198.9,1178.1,1184.45,1258.317,1184.4100000000005,1206.1450000000002,1231.435,1248.8870000000002,
126,736297.0,1184.7,1192.95,1176.5,1178.75,1256.3000000000002,1180.5500000000006,1198.5450000000003,1227.7075,1248.9295000000002,
127,736298.0,1185.0,1202.0,1181.1,1199.6,1254.335,1183.5200000000004,1194.0700000000002,1224.6975,1249.1975000000002,
128,736299.0,1202.3,1207.9,1193.0,1197.25,1252.477,1189.8700000000003,1190.775,1222.2525,1249.5140000000001,
129,736300.0,1189.0,1201.95,1176.7,1189.1,1250.4900000000002,1189.8300000000004,1188.5450000000003,1218.9599999999998,1249.5485000000003,
131,736303.0,1187.6,1198.95,1176.5,1196.35,1248.557,1192.2100000000005,1188.3100000000002,1216.5924999999997,1249.7635000000002,
132,736304.0,1195.0,1202.85,1190.2,1194.45,1246.308,1195.3500000000004,1187.9500000000003,1213.8424999999997,1249.7105000000004,
134,736305.0,1201.85,1205.9,1167.0,1181.6,1243.6860000000001,1191.7500000000005,1187.6350000000004,1210.2074999999998,1249.5050000000003,
136,736306.0,1187.0,1205.55,1187.0,1199.5,1241.753,1192.2000000000003,1191.0350000000003,1207.6199999999997,1249.5225000000005,
137,736307.0,1199.1,1202.3,1188.0,1198.3,1239.758,1194.0400000000004,1191.9350000000004,1203.6074999999996,1249.5020000000004,
138,736310.0,1192.0,1192.15,1181.1,1184.45,1237.542,1191.6600000000005,1191.9350000000004,1199.0399999999997,1249.1095000000005,
139,736311.0,1180.25,1190.35,1178.55,1186.25,1235.7169999999999,1190.0200000000007,1192.6850000000004,1195.6149999999998,1248.6975000000004,
141,736312.0,1187.0,1188.0,1173.4,1175.7,1233.774,1188.8400000000006,1190.2950000000005,1192.1825,1248.2710000000004,
143,736313.0,1164.2,1194.5,1163.6,1176.6,1231.562,1184.2600000000007,1188.2300000000005,1189.5024999999998,1247.7150000000004,
144,736314.0,1176.6,1185.0,1171.55,1182.3,1229.417,1181.0600000000006,1187.5500000000004,1188.0474999999997,1247.2520000000004,
145,736317.0,1176.8,1179.5,1170.5,1176.75,1227.23,1179.5200000000007,1185.5900000000004,1186.9499999999996,1246.7115000000003,
146,736318.0,1176.0,1185.0,1171.7,1181.9,1225.229,1178.6500000000008,1184.3350000000003,1186.1424999999997,1246.0610000000004,
147,736319.0,1184.0,1185.0,1175.0,1180.0,1223.217,1179.5100000000007,1184.1750000000002,1185.9049999999997,1245.4730000000004,
149,736320.0,1176.4,1179.5,1168.4,1173.1,1220.9920000000002,1178.8100000000006,1181.5350000000003,1186.2849999999996,1244.8345000000004,
151,736321.0,1171.0,1189.25,1169.3,1186.25,1219.4620000000002,1179.6000000000006,1180.3300000000004,1186.1324999999997,1244.2125000000005,
153,736324.0,1178.55,1186.1,1170.1,1175.0,1217.726,1179.2500000000005,1179.3850000000002,1185.6599999999996,1243.5005000000006,
154,736325.0,1179.3,1186.9,1173.9,1185.2,1216.6760000000002,1179.9100000000005,1179.2800000000002,1185.9824999999996,1242.9295000000004,
155,736326.0,1189.9,1194.95,1181.0,1186.75,1215.2540000000001,1181.2600000000007,1180.3850000000002,1185.3399999999997,1242.3640000000005,
156,736327.0,1185.0,1207.95,1181.45,1205.2,1214.191,1187.6800000000007,1183.2450000000003,1185.7374999999997,1242.0115000000003,
157,736328.0,1200.0,1212.0,1199.95,1206.2,1213.205,1191.6700000000005,1185.6350000000004,1186.5925,1241.6635000000003,
158,736331.0,1209.45,1210.1,1192.05,1197.1,1211.733,1196.0900000000006,1187.6700000000005,1186.6299999999999,1241.1420000000005,
159,736332.0,1200.8,1201.95,1185.75,1189.9,1210.26,1197.0300000000004,1188.4700000000005,1186.4025,1240.5450000000003,
160,736333.0,1189.85,1192.0,1183.8,1185.5,1208.964,1196.7800000000004,1189.0200000000004,1186.5975,1239.9280000000003,
161,736334.0,1189.0,1194.5,1183.1,1186.2,1207.9019999999998,1192.9800000000005,1190.3300000000004,1185.9325000000001,1239.5210000000004,
163,736335.0,1190.1,1198.4,1188.2,1193.65,1206.733,1190.4700000000007,1191.0700000000004,1185.7000000000003,1239.1750000000002,
165,736338.0,1198.85,1204.15,1192.15,1195.2,1205.4559999999997,1190.0900000000006,1193.0900000000006,1186.2375000000002,1238.8400000000004,
166,736339.0,1196.2,1216.8,1195.3,1214.35,1204.6769999999997,1194.9800000000007,1196.0050000000006,1187.6425000000002,1238.7105000000004,
167,736340.0,1217.5,1238.1,1215.5,1234.0,1204.1609999999996,1204.6800000000007,1200.7300000000005,1190.5575000000001,1238.7015000000004,
168,736341.0,1235.0,1243.7,1225.5,1235.0,1203.9379999999996,1214.4400000000007,1203.7100000000005,1193.4775000000002,1238.5265000000004,
170,736342.0,1239.0,1239.7,1228.6,1232.5,1203.4889999999996,1222.2100000000005,1206.3400000000004,1195.9875000000002,1238.3805000000002,
172,736345.0,1233.5,1249.45,1232.8,1247.65,1203.5679999999998,1232.7000000000005,1211.3950000000002,1199.5325000000003,1238.3540000000003,
173,736346.0,1247.0,1252.4,1236.25,1238.5,1203.3489999999997,1237.5300000000007,1216.2550000000003,1202.3625000000002,1238.2245000000003,
174,736347.0,1240.9,1256.0,1240.85,1242.6,1203.1149999999998,1239.2500000000007,1221.9650000000004,1205.4925,1238.0325000000003,
175,736348.0,1244.9,1244.9,1235.0,1236.3,1202.8159999999998,1239.5100000000007,1226.9750000000001,1208.6525000000001,1237.8100000000004,
